from,to,source,target
4,128,service9,wpdvlab04
2,110,service4,wnpvtosca02
8,140,service5,oss-cent7.lvn.broadcom.net
1,99,service1,lc-ibn-1040.ibn.broadcom.net
2,63,service4,ash-wan-sr3.nw-am.broadcom.net_Gi0/0/5
7,66,service15,lc-sj1-4832.lvn.broadcom.net
14,4,service12,sju-ll2-lab133-bvt-a6-yellow-sw04
11,121,service7,lnpvabrcaw02.broadcom.com
11,79,service7,wpdvepidb03
12,154,service10,SC5TFBOSW3.arcot.ca.com_Gi1/0/17
7,135,service15,lc-tlva-109.ihl.broadcom.net
7,0,service15,lnpvsubscw02.broadcom.com
8,17,service5,don-fab-sw3.nw-ap.broadcom.net
6,141,service14,lc-sj1-5912.lvn.broadcom.net
4,167,service9,lc-sj1-6090.lvn.broadcom.net
2,130,service4,ihy-wan-sr1.nw-ap.broadcom.net_Gi0/0/3
15,160,service13,lvn-wan-sr3.nw-am.broadcom.net_Gi0/0/5
3,10,service3,wpngvmrfs01
12,67,service10,lc-irv-3238.lvn.broadcom.net
15,64,service13,wnpvarcs01
6,27,service14,wnpvtsf09
3,83,service3,sji-wan-bdr1.nw-am.broadcom.net_Gi0/0/0
13,136,service11,wnpvisscmbejb2
8,132,service5,opi-fab-inarip34sw2.nw-ap.broadcom.net
12,111,service10,lc-irv-3396.lvn.broadcom.net
13,129,service11,ihl-wan-sr2.nw-em.broadcom.net_Gi0/0/1
6,150,service14,ren-wan-sr1.nw-am.broadcom.net
14,123,service12,lc-irv-2970.lvn.broadcom.net
1,8,service1,ren-dcobmgmt-p2ar02c05sw04
11,111,service7,lc-irv-3396.lvn.broadcom.net
2,25,service4,lnpvela08.ash.broadcom.net
11,125,service7,rgb-wan-sr1.nw-em.broadcom.net_Gi0/0/0
13,12,service11,wnpvuimp01.lvn.broadcom.net
3,3,service3,lc-irv-3226.lvn.broadcom.net
1,112,service1,apdvqualys08.ash.broadcom.net
2,78,service4,sju-cas-stk-sw12.nw-am.broadcom.net
11,97,service7,bld-med-bca-05.ihl.broadcom.net
4,28,service9,lnpvinrdb01.png.broadcom.net
4,82,service9,sju-cas-sw02.nw-am.broadcom.net
2,156,service4,wlvnvmgc02
7,135,service15,lc-tlva-109.ihl.broadcom.net
4,73,service9,wpdvisscmfefs1
5,149,service6,bcatestdev.lvn.broadcom.net
2,5,service4,bri-wan-sr1.nw-em.broadcom.net_Gi0/0/3
5,174,service6,anpvpsc12.yis.broadcom.net
12,45,service10,sju-cas-sw08.nw-am.broadcom.net
